公司名称,产品型号,准入状态
凯迪西北橡胶有限公司,16-150-200-涤纶长丝/涤纶长丝-聚氨酯/聚氨酯(主型),注销
杭州天安消防水带有限公司,20-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泉州市三星消防设备有限公司,13-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
上海华森消防科技发展有限公司,20-65-40-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
浙江恒安消防安全设备有限公司,25-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
南通森田消防装备有限公司,20-65-25-涤纶纱/涤纶长丝-聚氨酯(主型),注销
泰州市神龙消防科技有限公司,25-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
高邮市恒泰消防器材有限公司,20-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州荣安消防器材有限公司,16-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福建省双龙消防科技有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福建省恒龙消防科技有限公司,13-65-25-涤纶长丝/涤纶长丝-塑料(主型),注销
四川福联兴消防器材有限公司,8-50-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州市晨鑫消防设备有限公司,16-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福建闽山消防有限公司,10-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福建省贵峰消防科技有限公司,10-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福州海量管道器材有限公司,16-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泉州市晋源消防水暖有限公司,13-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
高邮腾达消防科技有限公司,25-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
百安消防科技有限公司,10-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
广州市南粤消防水带厂,20-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
高邮市双龙消防设备有限公司,13-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
贵州雨源消防设备有限责任公司,10-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州双牛消防装备有限公司,8-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
山东鼎盛消防科技有限公司,16-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
郑州市柳城消防器材有限公司,10-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
黄山市龙潭消防水带有限责任公司,20-65-40-涤纶纱/涤纶长丝-聚氨酯(主型),注销
扬州市邮星消防器材有限公司,13-65-25-涤纶纱/丙纶长丝-塑料(主型),注销
泰兴市曙光消防器材厂,8-65-25-涤纶纱/丙纶长丝-塑料(主型),注销
临沂市正友消防器材有限公司,16-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
宝鸡市秦龙消防水带有限公司,25-80-20-涤纶丝/涤纶丝-聚氨酯(主型),注销
台州俊宇消防水带有限公司,16-65-30 涤纶长丝/涤纶长丝-聚氨酯(主型),注销
宁波建美特种水带有限公司,16-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州市宝安消防设备有限公司,8-50-25-涤纶纱/丙纶丝-塑料(主型),注销
江山市消防水带厂（普通合伙）,8-50-25-涤纶纱/丙纶长丝-塑料(主型),注销
江苏水龙江山消防发展有限公司,16-50-40-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
江苏三峡消防器材有限公司,13-65-25-涤纶纱/涤纶长丝-塑料(主型),注销
福建泉州闽弘消防设备有限公司,8-50-25-涤纶长丝/涤纶长丝-塑料(主型),注销
浙江省富阳利江消防器材厂,10-65-25-涤纶纱／涤纶长丝-塑料(主型),注销
浙江民安消防设备有限公司,16-65-20-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
贵州兴通消防装备有限公司,8-65-30-涤纶纱/涤纶长丝-塑料(主型),注销
福建省南安怡景消防器材有限责任公司,8-65-25-涤纶纱/丙纶长丝-塑料(主型),注销
福建省南安市华厦水带织造有限公司,16-65-25-涤纶长丝/涤纶长丝-塑料(主型),注销
苏扬消防器材（宝应）有限公司,10-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
成都金花消防器材有限公司,16-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泰州江山消防器材有限公司,10-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
河南柳成安防科技有限公司,8-65-25-涤纶长丝/涤纶长丝 - 聚氨酯(主型),注销
福建省华龙消防器材有限公司,8-50-25-涤纶纱/丙纶长丝-塑料(主型),注销
北京燕阳新材料技术发展有限公司,10-50-30-涤纶长丝/涤纶长丝+涤纶纱-聚氨酯(主型),注销
南安市安通消防装备有限公司,10-65-25-涤纶纱/丙纶长丝-塑料(主型),注销
江苏依诺消防科技有限公司,16-80-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
江苏泰华消防电气设备有限公司,10-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
中莲消防科技有限公司,10-65-30-涤纶长丝/涤纶长丝-塑料(主型),注销
福建海鲸消防有限公司,8-65-25-涤纶纱/丙纶长丝-塑料(主型),注销
山东健祥消防科技有限责任公司,16-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福建迎盛消防科技有限公司,20-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福建省金扇消防设备有限公司,10-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
上饶江安消防器材有限公司,16-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州市太平洋消防器材有限公司,8-65-25涤纶长丝/涤纶长丝-塑料(主型),注销
锦阳消防科技有限公司,8-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
山东银河飞龙消防科技有限公司,20-80-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
宝应县消防水带厂有限公司,8-65-25-涤纶纱/丙纶丝-塑料(主型),注销
山西铠甲消防装备有限公司,20-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
余姚市东盛消防设备有限公司,10-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
国泰消防科技股份有限公司,16-65-20-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
安徽建安消防产品制造有限公司,20-65-25-涤纶长丝-涤纶长丝-聚氨酯(主型),注销
泰州市百恒消防器材厂,10-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
济俊消防科技有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州市伟业消防器材有限公司,16-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
温州市飞盾消防器材有限公司,13-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福建省广捷消防器材有限公司,8-65-25-涤纶长丝/涤纶长丝-塑料(主型),注销
江苏万海消防器材有限公司,25-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
广东南粤消防设备有限公司,13-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
福建省邦消消防科技有限公司,16-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
扬州佳源消防设备制造有限公司,10-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
泰州市华盛消防装备有限公司,20-80-40-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
北京搏龙消防科技有限公司,10-50-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
福建省龙飞消防科技有限公司,8-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
安通消防科技有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
南阳市三丰消防器材有限公司,10-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
四川金濠消防设备制造有限公司,25-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
浙江丰瑞晨消防装备有限公司,20-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
浙江格水管业科技有限公司,13-65-30-涤纶长丝／涤纶长丝-聚氨酯(主型),有效
高邮市顺威消防科技有限公司,16-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
江苏润泽安全科技有限公司,25-65-30-聚乙烯纤维丝/聚乙烯纤维丝-聚氨酯(主型),有效
深圳市金安消防科技有限公司,13-65-25-涤纶长丝／涤纶长丝-聚氨酯(主型),有效
